Time (msec),A/F Sensor #1 (Direct)* (AFR),Engine Load* (g/rev),Engine Speed (rpm),Mass Airflow (g/s),Throttle Opening Angle (%),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value)
0,14.66,0.46,2603,20.99,9.80,0.00,0.00,8
137,14.27,0.49,2660,22.26,10.98,0.00,0.00,8
276,14.66,0.54,2669,25.02,12.55,0.00,0.00,8
415,13.95,0.71,2739,36.86,18.43,0.00,0.00,8
554,13.85,0.87,2761,42.24,25.10,0.00,0.00,8
693,14.35,1.02,2842,49.80,34.12,-2.11,0.00,8
832,12.02,1.14,2916,56.67,47.45,-2.11,0.00,8
970,12.37,1.27,2981,64.52,66.67,-2.11,0.00,8
1110,11.27,1.41,3075,76.41,97.65,-2.11,0.00,8
1253,11.27,1.55,3246,88.96,100.00,-2.11,0.00,8
1390,11.27,1.72,3384,99.62,100.00,-2.11,0.00,8
1528,11.27,1.95,3431,116.51,100.00,-2.11,0.00,8
1668,11.27,2.23,3597,136.40,100.00,-2.11,0.00,8
1810,11.27,2.43,3782,152.38,100.00,-2.11,0.00,8
1950,11.27,2.48,3916,162.65,100.00,-2.11,0.00,8
2088,11.27,2.44,4032,167.30,100.00,-2.11,0.00,8
2226,11.27,2.42,4242,175.56,100.00,-2.11,0.00,8
2366,11.27,2.43,4383,182.88,100.00,-2.11,0.00,8
2508,11.27,2.40,4690,187.66,100.00,-2.11,0.00,8
2645,11.27,2.37,4886,192.44,100.00,-2.11,0.00,8
2784,11.27,2.35,4996,196.86,100.00,-1.05,0.00,8
2923,11.27,2.31,5162,200.64,100.00,-1.05,0.00,8
3062,11.27,2.29,5319,204.97,100.00,-1.05,0.00,8
3200,11.27,2.24,5539,207.34,100.00,-1.05,0.00,8
3343,11.27,2.19,5652,208.52,100.00,-1.05,0.00,8
3480,11.29,2.16,5832,210.09,100.00,-1.05,0.00,8
3622,11.30,2.11,5981,210.48,100.00,-1.05,0.00,8
3761,11.32,2.06,6097,211.28,100.00,-1.05,0.00,8
3900,11.34,2.04,6324,212.85,100.00,-1.05,0.00,8
4042,11.33,2.00,6421,212.06,100.00,-1.05,0.00,8
4179,11.35,1.97,6471,212.85,100.00,-1.05,0.00,8
4318,11.37,1.91,6614,213.24,12.55,-1.05,0.00,8
4457,11.51,0.60,6318,55.53,0.00,0.00,0.00,8
4596,12.68,0.52,5962,55.85,0.00,0.00,0.00,8
4735,17.79,0.42,5423,35.85,0.00,0.00,0.00,8
4873,24.01,0.45,5190,35.24,6.27,0.00,0.00,8
5016,11.74,0.49,5116,42.80,9.41,0.00,0.00,8
5153,12.19,0.49,4973,40.62,9.80,0.00,0.00,8
5292,12.62,0.55,4414,41.71,9.80,0.00,0.00,8
5435,12.36,0.53,4590,39.80,10.20,0.00,0.00,8
5571,12.91,0.53,4610,41.03,10.98,0.00,0.00,8
5709,12.75,0.54,4564,41.17,11.37,0.00,0.00,8
5853,12.53,0.41,4499,29.06,1.96,0.00,0.00,8
5993,11.39,0.33,4502,25.48,0.00,0.00,0.00,8
6129,11.30,0.33,4518,24.33,0.00,0.00,0.00,8
6267,11.27,0.31,4386,21.98,0.00,0.00,0.00,8
6408,11.46,0.27,4164,18.90,0.00,0.00,0.00,8
6546,14.87,0.24,3914,16.26,0.00,0.00,0.00,8
6684,20.70,0.18,3651,10.19,0.39,0.00,0.00,8
6824,24.14,0.20,3381,12.10,1.96,0.00,0.00,8
6965,23.81,0.22,3251,11.31,2.75,0.00,0.00,8
7102,17.67,0.19,3326,11.14,3.53,0.00,0.00,8
7244,13.46,0.21,3352,11.24,3.92,0.00,0.00,8
7382,13.48,0.21,3333,11.49,4.31,0.00,0.00,8
7521,14.18,0.21,3285,11.87,4.31,0.00,0.00,8
7661,14.66,0.18,3285,10.39,0.00,0.00,0.00,8
7799,14.73,0.13,3304,6.48,0.00,0.00,0.00,8
7937,14.50,0.14,3305,7.70,0.00,0.00,0.00,8
8077,14.18,0.14,3236,7.95,0.00,0.00,0.00,8
8218,14.28,0.15,3249,8.31,0.00,0.00,0.00,8
8355,16.73,0.15,3246,7.78,0.00,0.00,0.00,8
8496,23.66,0.13,3236,7.07,0.00,0.00,0.00,8
8634,25.66,0.14,3219,6.84,0.00,0.00,0.00,8
8772,24.03,0.13,3205,6.84,0.00,0.00,0.00,8
8911,24.20,0.13,3193,7.46,0.00,0.00,0.00,8
9053,24.14,0.14,3183,7.66,0.00,0.00,0.00,8
9192,23.79,0.17,3148,8.92,0.00,0.00,0.00,8
