Time (msec),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),A/F Sensor #1 (AFR),Engine Speed (rpm),Manifold Absolute Pressure (psi)
0,0.00,0.00,16,14.47,1152,5.08
24,0.00,0.00,16,14.59,1152,5.08
56,0.00,0.00,16,14.59,1146,5.08
88,0.00,0.00,16,14.59,1146,5.08
120,0.00,0.00,16,14.59,1151,5.08
152,0.00,0.00,16,14.47,1151,5.22
184,0.00,0.00,16,14.47,1151,5.22
216,0.00,0.00,16,14.59,1166,5.08
240,0.00,0.00,16,14.59,1166,5.08
276,0.00,0.00,16,14.47,1158,5.08
309,0.00,0.00,16,14.47,1158,5.08
341,0.00,0.00,16,14.36,1144,5.08
373,0.00,0.00,16,14.36,1144,5.08
405,0.00,0.00,16,14.59,1143,5.08
437,0.00,0.00,16,14.59,1143,5.08
469,0.00,0.00,16,14.47,1158,5.22
501,0.00,0.00,16,14.47,1158,5.22
532,0.00,0.00,16,14.59,1162,5.08
560,0.00,0.00,16,14.59,1162,5.08
592,0.00,0.00,16,14.59,1164,5.08
628,0.00,0.00,16,14.59,1164,5.08
660,0.00,0.00,16,14.47,1146,5.08
692,0.00,0.00,16,14.47,1146,5.08
724,0.00,0.00,16,14.59,1152,5.08
756,0.00,0.00,16,14.59,1152,5.08
788,0.00,0.00,16,14.47,1156,5.08
820,0.00,0.00,16,14.47,1156,5.08
852,0.00,0.00,16,14.47,1149,5.08
884,0.00,0.00,16,14.47,1149,5.08
916,0.00,0.00,16,14.59,1153,5.08
948,0.00,0.00,16,14.59,1153,5.08
980,0.00,0.00,16,14.47,1164,5.08
1012,0.00,0.00,16,14.47,1164,5.08
1044,0.00,0.00,16,14.47,1138,5.08
1068,0.00,0.00,16,14.47,1138,5.08
1100,0.00,0.00,16,14.47,1142,5.08
1135,0.00,0.00,16,14.59,1142,5.08
1167,0.00,0.00,16,14.59,1158,5.08
1199,0.00,0.00,16,14.47,1158,5.08
1233,0.00,0.00,16,14.47,1154,5.08
1265,0.00,0.00,16,14.59,1154,5.08
1297,0.00,0.00,16,14.59,1154,5.08
1329,0.00,0.00,16,14.47,1151,5.08
1358,0.00,0.00,16,14.47,1151,5.08
1390,0.00,0.00,16,14.36,1155,5.22
1429,0.00,0.00,16,14.36,1155,5.22
1454,0.00,0.00,16,14.47,1157,5.08
1486,0.00,0.00,16,14.47,1157,5.08
1517,0.00,0.00,16,14.47,1154,5.08
1550,0.00,0.00,16,14.47,1154,5.08
1582,0.00,0.00,16,14.36,1150,5.08
1614,0.00,0.00,16,14.36,1150,5.08
1646,0.00,0.00,16,14.59,1156,5.08
1678,0.00,0.00,16,14.59,1156,5.08
1709,0.00,0.00,16,14.36,1162,5.08
1741,0.00,0.00,16,14.36,1162,5.08
1776,0.00,0.00,16,14.47,1160,5.08
1808,0.00,0.00,16,14.47,1160,5.08
1840,0.00,0.00,16,14.47,1156,5.08
1864,0.00,0.00,16,14.47,1156,5.08
1904,0.00,0.00,16,14.36,1157,5.08
1930,0.00,0.00,16,14.36,1157,5.08
1962,0.00,0.00,16,14.47,1170,5.08
1994,0.00,0.00,16,14.47,1170,5.08
2026,0.00,0.00,16,14.36,1165,5.08
2058,0.00,0.00,16,14.36,1165,5.08
2094,0.00,0.00,16,14.36,1141,5.08
2126,0.00,0.00,16,14.36,1141,5.08
2158,0.00,0.00,16,14.36,1148,5.08
2190,0.00,0.00,16,14.47,1148,5.08
2214,0.00,0.00,16,14.47,1158,5.08
2246,0.00,0.00,16,14.36,1158,5.08
2278,0.00,0.00,16,14.36,1164,5.08
2310,0.00,0.00,16,14.47,1164,5.08
2342,0.00,0.00,16,14.47,1162,5.08
2374,0.00,0.00,16,14.59,1162,5.08
2406,0.00,0.00,16,14.59,1162,5.08
2438,0.00,0.00,16,14.36,1168,5.08
2470,0.00,0.00,16,14.36,1168,5.08
2502,0.00,0.00,16,14.59,1170,5.08
2534,0.00,0.00,16,14.59,1170,5.08
2566,0.00,0.00,16,14.59,1160,5.08
2598,0.00,0.00,16,14.59,1160,5.08
2630,0.00,0.00,16,14.36,1148,5.08
2662,0.00,0.00,16,14.36,1148,5.08
2697,0.00,0.00,16,14.47,1162,5.08
2728,0.00,0.00,16,14.47,1162,5.08
2760,0.00,0.00,16,14.36,1164,5.08
2792,0.00,0.00,16,14.36,1164,5.08
2824,0.00,0.00,16,14.36,1144,5.08
2856,0.00,0.00,16,14.36,1144,5.08
2888,0.00,0.00,16,14.59,1154,5.08
2920,0.00,0.00,16,14.59,1154,5.08
2952,0.00,0.00,16,14.47,1150,5.08
2984,0.00,0.00,16,14.47,1150,5.08
3016,0.00,0.00,16,14.47,1155,5.08
3048,0.00,0.00,16,14.47,1155,5.08
3080,0.00,0.00,16,14.59,1152,5.08
3112,0.00,0.00,16,14.59,1152,5.08
3144,0.00,0.00,16,14.36,1150,5.08
3178,0.00,0.00,16,14.36,1150,5.08
3210,0.00,0.00,16,14.47,1153,5.08
3234,0.00,0.00,16,14.47,1153,5.08
3266,0.00,0.00,16,14.47,1161,5.08
3298,0.00,0.00,16,14.47,1161,5.08
3330,0.00,0.00,16,14.47,1152,5.08
3362,0.00,0.00,16,14.36,1152,5.08
3394,0.00,0.00,16,14.36,1159,5.08
3426,0.00,0.00,16,14.47,1159,5.08
3458,0.00,0.00,16,14.47,1150,5.08
3490,0.00,0.00,16,14.36,1150,5.08
3522,0.00,0.00,16,14.36,1151,5.08
3554,0.00,0.00,16,14.47,1151,5.08
3586,0.00,0.00,16,14.47,1151,5.08
3618,0.00,0.00,16,14.47,1142,5.08
3650,0.00,0.00,16,14.47,1142,5.08
3686,0.00,0.00,16,14.36,1144,5.08
3718,0.00,0.00,16,14.36,1144,5.08
3750,0.00,0.00,16,14.47,1154,5.08
3782,0.00,0.00,16,14.47,1154,5.08
3814,0.00,0.00,16,14.59,1144,5.08
3846,0.00,0.00,16,14.59,1144,5.08
3878,0.00,0.00,16,14.36,1138,5.08
3910,0.00,0.00,16,14.36,1138,5.08
3944,0.00,0.00,16,14.59,1151,5.08
3968,0.00,0.00,16,14.59,1151,5.08
4004,0.00,0.00,16,14.47,1152,5.08
4036,0.00,0.00,16,14.47,1152,5.08
4060,0.00,0.00,16,14.47,1146,5.08
4097,0.00,0.00,16,14.47,1146,5.08
4125,0.00,0.00,16,14.47,1152,5.08
4161,0.00,0.00,16,14.47,1152,5.08
4193,0.00,0.00,16,14.47,1167,5.08
4225,0.00,0.00,16,14.47,1167,5.08
4257,0.00,0.00,16,14.47,1155,5.08
4291,0.00,0.00,16,14.47,1155,5.08
4323,0.00,0.00,16,14.47,1143,5.08
4347,0.00,0.00,16,14.47,1143,5.08
4387,0.00,0.00,16,14.47,1136,5.08
4419,0.00,0.00,16,14.36,1136,5.08
4443,0.00,0.00,16,14.36,1155,5.08
4475,0.00,0.00,16,14.47,1155,5.08
4507,0.00,0.00,16,14.47,1156,5.08
4539,0.00,0.00,16,14.36,1156,5.08
